Symptom_Text,Water_Color,Water_Odor,Disease
"fever, light-colored stool",Yellowish,Earthy,Hepatitis A
"fever, vomiting",Clear,Earthy,Hepatitis A
"joint pain, fever, dark urine, jaundice",Brown,Foul,Hepatitis A
"abdominal pain, jaundice",Brown,Earthy,Hepatitis A
"yellow skin or eyes, abdominal pain, light-colored stool, fever",Clear,Foul,Hepatitis A
"yellow skin or eyes, jaundice, fever, joint pain",Yellowish,Earthy,Hepatitis A
"dark urine, fever, joint pain",Brown,None,Hepatitis A
"jaundice, vomiting, abdominal pain, light-colored stool",Yellowish,Earthy,Hepatitis A
"light-colored stool, nausea",Brown,Earthy,Hepatitis A
"yellow skin or eyes, light-colored stool, joint pain",Brown,None,Hepatitis A
"fever, dark urine, vomiting, light-colored stool",Brown,Foul,Hepatitis A
"light-colored stool, jaundice",Brown,None,Hepatitis A
"light-colored stool, nausea, fever",Yellowish,Earthy,Hepatitis A
"fever, dark urine",Yellowish,Earthy,Hepatitis A
"dark urine, abdominal pain, nausea",Yellowish,Earthy,Hepatitis A
"dark urine, vomiting, jaundice, joint pain",Clear,Earthy,Hepatitis A
"joint pain, jaundice, abdominal pain, yellow skin or eyes",Yellowish,Foul,Hepatitis A
"nausea, yellow skin or eyes, dark urine",Clear,Foul,Hepatitis A
"dark urine, vomiting",Clear,Earthy,Hepatitis A
"light-colored stool, yellow skin or eyes, fever, dark urine",Clear,None,Hepatitis A
"light-colored stool, joint pain",Clear,Earthy,Hepatitis A
"joint pain, vomiting, fever",Yellowish,Foul,Hepatitis A
"yellow skin or eyes, dark urine",Clear,Earthy,Hepatitis A
"jaundice, vomiting",Brown,Earthy,Hepatitis A
"abdominal pain, dark urine",Brown,None,Hepatitis A
"nausea, dark urine, jaundice",Brown,None,Hepatitis A
"vomiting, dark urine, light-colored stool, abdominal pain",Clear,Earthy,Hepatitis A
"dark urine, yellow skin or eyes",Brown,None,Hepatitis A
"yellow skin or eyes, joint pain, dark urine",Brown,Foul,Hepatitis A
"light-colored stool, fever, joint pain",Clear,Foul,Hepatitis A
"vomiting, joint pain",Yellowish,Foul,Hepatitis A
"light-colored stool, vomiting",Brown,Earthy,Hepatitis A
"vomiting, nausea, jaundice",Clear,None,Hepatitis A
"vomiting, fever, light-colored stool, nausea",Yellowish,Foul,Hepatitis A
"dark urine, abdominal pain, yellow skin or eyes",Clear,None,Hepatitis A
"yellow skin or eyes, nausea, light-colored stool, fever",Brown,None,Hepatitis A
"nausea, fever",Yellowish,None,Hepatitis A
"nausea, vomiting, dark urine, jaundice",Yellowish,None,Hepatitis A
"yellow skin or eyes, jaundice, fever, abdominal pain",Clear,Earthy,Hepatitis A
"jaundice, vomiting, fever, joint pain",Clear,None,Hepatitis A
"dark urine, jaundice, joint pain",Brown,Foul,Hepatitis A
"dark urine, light-colored stool",Brown,None,Hepatitis A
"joint pain, nausea, dark urine, abdominal pain",Yellowish,Foul,Hepatitis A
"yellow skin or eyes, nausea, vomiting, fever",Clear,Earthy,Hepatitis A
"yellow skin or eyes, jaundice",Yellowish,None,Hepatitis A
"joint pain, light-colored stool, vomiting",Clear,Earthy,Hepatitis A
"vomiting, yellow skin or eyes, joint pain, abdominal pain",Yellowish,None,Hepatitis A
"dark urine, joint pain, nausea",Yellowish,None,Hepatitis A
"fever, dark urine",Yellowish,None,Hepatitis A
"yellow skin or eyes, abdominal pain",Yellowish,None,Hepatitis A
"vomiting, dark urine, nausea, light-colored stool",Brown,None,Hepatitis A
"joint pain, light-colored stool, abdominal pain, nausea",Yellowish,Earthy,Hepatitis A
"abdominal pain, dark urine",Brown,None,Hepatitis A
"vomiting, yellow skin or eyes",Yellowish,Foul,Hepatitis A
"joint pain, fever",Yellowish,Foul,Hepatitis A
"nausea, fever",Yellowish,Foul,Hepatitis A
"vomiting, nausea",Yellowish,None,Hepatitis A
"light-colored stool, fever",Clear,Foul,Hepatitis A
"yellow skin or eyes, abdominal pain, dark urine, jaundice",Brown,Foul,Hepatitis A
"jaundice, yellow skin or eyes, fever",Clear,Earthy,Hepatitis A
"fever, vomiting, jaundice, nausea",Brown,None,Hepatitis A
"light-colored stool, vomiting",Clear,Foul,Hepatitis A
"vomiting, nausea, dark urine",Yellowish,Foul,Hepatitis A
"abdominal pain, yellow skin or eyes, jaundice",Brown,None,Hepatitis A
"abdominal pain, jaundice, joint pain",Clear,Foul,Hepatitis A
"vomiting, nausea, abdominal pain",Yellowish,None,Hepatitis A
"jaundice, vomiting, dark urine, light-colored stool",Clear,None,Hepatitis A
"jaundice, dark urine, abdominal pain",Clear,Foul,Hepatitis A
"joint pain, light-colored stool, yellow skin or eyes",Yellowish,None,Hepatitis A
"joint pain, fever",Yellowish,Earthy,Hepatitis A
"dark urine, vomiting, abdominal pain, joint pain",Clear,Foul,Hepatitis A
"fever, joint pain, abdominal pain, vomiting",Yellowish,Foul,Hepatitis A
"jaundice, nausea, light-colored stool, fever",Brown,None,Hepatitis A
"light-colored stool, joint pain",Clear,Earthy,Hepatitis A
"vomiting, jaundice, abdominal pain, fever",Clear,Foul,Hepatitis A
"abdominal pain, jaundice",Yellowish,Earthy,Hepatitis A
"jaundice, dark urine, fever",Brown,None,Hepatitis A
"yellow skin or eyes, jaundice, abdominal pain",Brown,Earthy,Hepatitis A
"fever, jaundice, joint pain, abdominal pain",Brown,None,Hepatitis A
"dark urine, abdominal pain",Brown,None,Hepatitis A
"nausea, light-colored stool, fever",Brown,None,Hepatitis A
"dark urine, joint pain, jaundice, abdominal pain",Yellowish,Earthy,Hepatitis A
"fever, nausea",Yellowish,None,Hepatitis A
"dark urine, nausea, jaundice, light-colored stool",Yellowish,None,Hepatitis A
"fever, abdominal pain",Yellowish,Foul,Hepatitis A
"nausea, yellow skin or eyes",Clear,Foul,Hepatitis A
"fever, dark urine, light-colored stool",Clear,Earthy,Hepatitis A
"joint pain, dark urine",Yellowish,None,Hepatitis A
"dark urine, light-colored stool, joint pain, nausea",Yellowish,Earthy,Hepatitis A
"joint pain, yellow skin or eyes, abdominal pain, fever",Yellowish,Earthy,Hepatitis A
"light-colored stool, dark urine",Brown,None,Hepatitis A
"yellow skin or eyes, dark urine",Clear,Earthy,Hepatitis A
"yellow skin or eyes, light-colored stool",Brown,Earthy,Hepatitis A
"yellow skin or eyes, dark urine, vomiting, jaundice",Yellowish,Earthy,Hepatitis A
"joint pain, vomiting, abdominal pain, light-colored stool",Yellowish,None,Hepatitis A
"nausea, jaundice, vomiting",Yellowish,None,Hepatitis A
"dark urine, joint pain, light-colored stool, abdominal pain",Brown,None,Hepatitis A
"joint pain, nausea",Clear,Earthy,Hepatitis A
"vomiting, dark urine",Yellowish,Earthy,Hepatitis A
"joint pain, jaundice",Brown,Foul,Hepatitis A
"light-colored stool, jaundice, abdominal pain, dark urine",Clear,Foul,Hepatitis A
"dark urine, abdominal pain, nausea, light-colored stool",Clear,Earthy,Hepatitis A
"abdominal pain, yellow skin or eyes",Yellowish,Earthy,Hepatitis A
"vomiting, fever, yellow skin or eyes, nausea",Clear,Foul,Hepatitis A
"nausea, vomiting",Yellowish,Earthy,Hepatitis A
"fever, vomiting, joint pain",Clear,None,Hepatitis A
"fever, light-colored stool, nausea",Clear,Foul,Hepatitis A
"abdominal pain, jaundice, fever",Brown,Foul,Hepatitis A
"nausea, fever, dark urine",Yellowish,None,Hepatitis A
"dark urine, yellow skin or eyes, jaundice, vomiting",Yellowish,Foul,Hepatitis A
"fever, nausea",Brown,None,Hepatitis A
"jaundice, joint pain, light-colored stool, abdominal pain",Yellowish,None,Hepatitis A
"abdominal pain, vomiting, nausea, fever",Brown,Foul,Hepatitis A
"jaundice, abdominal pain",Yellowish,Foul,Hepatitis A
"dark urine, joint pain, abdominal pain, vomiting",Brown,Foul,Hepatitis A
"nausea, fever, jaundice, joint pain",Clear,None,Hepatitis A
"light-colored stool, fever",Clear,Earthy,Hepatitis A
"abdominal pain, light-colored stool, dark urine, joint pain",Yellowish,Earthy,Hepatitis A
"fever, yellow skin or eyes, dark urine",Clear,Foul,Hepatitis A
"yellow skin or eyes, nausea, abdominal pain, light-colored stool",Yellowish,Foul,Hepatitis A
"light-colored stool, nausea, joint pain",Clear,None,Hepatitis A
"yellow skin or eyes, vomiting",Yellowish,Earthy,Hepatitis A
"jaundice, yellow skin or eyes, abdominal pain, light-colored stool",Brown,Earthy,Hepatitis A
"jaundice, light-colored stool",Brown,None,Hepatitis A
"dark urine, fever, yellow skin or eyes, jaundice",Clear,Foul,Hepatitis A
"nausea, joint pain, light-colored stool",Clear,Foul,Hepatitis A
"jaundice, fever, joint pain, light-colored stool",Clear,None,Hepatitis A
"yellow skin or eyes, nausea",Clear,Earthy,Hepatitis A
"nausea, light-colored stool, joint pain",Brown,Earthy,Hepatitis A
"dark urine, abdominal pain, fever",Clear,Earthy,Hepatitis A
"abdominal pain, joint pain, light-colored stool",Brown,Foul,Hepatitis A
"nausea, yellow skin or eyes, jaundice, vomiting",Yellowish,None,Hepatitis A
"joint pain, abdominal pain, yellow skin or eyes",Clear,Earthy,Hepatitis A
"nausea, dark urine",Yellowish,Earthy,Hepatitis A
"jaundice, yellow skin or eyes",Yellowish,Foul,Hepatitis A
"jaundice, yellow skin or eyes, light-colored stool",Brown,Foul,Hepatitis A
"dark urine, abdominal pain",Clear,Earthy,Hepatitis A
"vomiting, jaundice, fever, light-colored stool",Yellowish,None,Hepatitis A
"abdominal pain, nausea, vomiting",Clear,None,Hepatitis A
"jaundice, light-colored stool, fever, nausea",Clear,Foul,Hepatitis A
"jaundice, light-colored stool, abdominal pain",Yellowish,None,Hepatitis A
"yellow skin or eyes, fever, joint pain, vomiting",Clear,None,Hepatitis A
"dark urine, abdominal pain, joint pain",Yellowish,Earthy,Hepatitis A
"yellow skin or eyes, light-colored stool",Yellowish,Earthy,Hepatitis A
"abdominal pain, vomiting",Clear,Earthy,Hepatitis A
"fever, nausea, vomiting, dark urine",Brown,None,Hepatitis A
"fever, yellow skin or eyes, abdominal pain",Yellowish,Foul,Hepatitis A
"yellow skin or eyes, jaundice, dark urine, fever",Clear,Earthy,Hepatitis A
"fever, abdominal pain, dark urine",Brown,Foul,Hepatitis A
"dark urine, fever, light-colored stool",Brown,Earthy,Hepatitis A
"dark urine, nausea, joint pain",Clear,Earthy,Hepatitis A
"fever, jaundice, vomiting",Clear,Foul,Hepatitis A
"abdominal pain, fever",Clear,None,Hepatitis A
"light-colored stool, fever",Brown,Foul,Hepatitis A
"fever, vomiting, yellow skin or eyes, dark urine",Yellowish,Earthy,Hepatitis A
"abdominal pain, fever, dark urine",Yellowish,Earthy,Hepatitis A
"joint pain, yellow skin or eyes, jaundice",Brown,Foul,Hepatitis A
"jaundice, abdominal pain, light-colored stool",Brown,Foul,Hepatitis A
"light-colored stool, fever",Brown,None,Hepatitis A
"dark urine, joint pain, nausea, yellow skin or eyes",Yellowish,Earthy,Hepatitis A
"yellow skin or eyes, jaundice",Brown,None,Hepatitis A
"light-colored stool, yellow skin or eyes, nausea",Yellowish,Foul,Hepatitis A
"joint pain, fever",Brown,Foul,Hepatitis A
"light-colored stool, yellow skin or eyes, nausea",Brown,Foul,Hepatitis A
"joint pain, dark urine",Brown,None,Hepatitis A
"jaundice, yellow skin or eyes",Brown,Foul,Hepatitis A
"vomiting, jaundice, fever, joint pain",Clear,Earthy,Hepatitis A
"light-colored stool, abdominal pain, dark urine, nausea",Brown,Earthy,Hepatitis A
"joint pain, jaundice",Brown,None,Hepatitis A
"jaundice, joint pain, nausea, dark urine",Clear,Foul,Hepatitis A
"dark urine, fever, yellow skin or eyes",Brown,None,Hepatitis A
"vomiting, dark urine",Yellowish,Foul,Hepatitis A
"abdominal pain, light-colored stool",Brown,Foul,Hepatitis A
"dark urine, yellow skin or eyes, abdominal pain, fever",Clear,None,Hepatitis A
"vomiting, dark urine, fever",Yellowish,Earthy,Hepatitis A
"light-colored stool, nausea, abdominal pain",Yellowish,None,Hepatitis A
"jaundice, abdominal pain, joint pain, light-colored stool",Clear,Earthy,Hepatitis A
"vomiting, light-colored stool",Yellowish,Foul,Hepatitis A
"dark urine, nausea",Brown,None,Hepatitis A
"dark urine, abdominal pain",Clear,Earthy,Hepatitis A
"nausea, light-colored stool, abdominal pain",Brown,Foul,Hepatitis A
"dark urine, abdominal pain, jaundice",Brown,None,Hepatitis A
"vomiting, dark urine",Yellowish,Earthy,Hepatitis A
"fever, light-colored stool, yellow skin or eyes",Yellowish,None,Hepatitis A
"light-colored stool, nausea, jaundice",Yellowish,Foul,Hepatitis A
"jaundice, joint pain, nausea",Clear,Foul,Hepatitis A
"light-colored stool, dark urine, vomiting",Brown,Foul,Hepatitis A
"abdominal pain, joint pain, vomiting",Clear,Foul,Hepatitis A
"light-colored stool, nausea, joint pain, vomiting",Brown,Foul,Hepatitis A
"abdominal pain, fever, light-colored stool",Brown,Earthy,Hepatitis A
"fever, dark urine",Brown,Earthy,Hepatitis A
"yellow skin or eyes, joint pain, abdominal pain",Yellowish,None,Hepatitis A
"jaundice, nausea, dark urine",Clear,Foul,Hepatitis A
"fever, abdominal pain",Clear,Earthy,Hepatitis A
"jaundice, fever, dark urine, abdominal pain",Clear,None,Hepatitis A
"yellow skin or eyes, jaundice",Brown,Foul,Hepatitis A
"vomiting, abdominal pain, dark urine",Clear,Foul,Hepatitis A
"yellow skin or eyes, fever",Brown,Earthy,Hepatitis A
"yellow skin or eyes, abdominal pain, jaundice, joint pain",Yellowish,None,Hepatitis A
"abdominal pain, jaundice",Clear,Earthy,Hepatitis A
"joint pain, light-colored stool, yellow skin or eyes",Clear,Earthy,Hepatitis A
"jaundice, vomiting, dark urine",Brown,Foul,Hepatitis A
"nausea, joint pain",Clear,None,Hepatitis A
"fever, nausea",Clear,Earthy,Hepatitis A
"vomiting, joint pain, dark urine",Brown,Earthy,Hepatitis A
"yellow skin or eyes, abdominal pain, jaundice, dark urine",Clear,None,Hepatitis A
"dark urine, nausea",Brown,None,Hepatitis A
"nausea, joint pain, dark urine, fever",Yellowish,Earthy,Hepatitis A
"light-colored stool, dark urine",Brown,None,Hepatitis A
"vomiting, light-colored stool, fever, dark urine",Clear,Earthy,Hepatitis A
"jaundice, vomiting, joint pain, fever",Clear,None,Hepatitis A
"yellow skin or eyes, nausea",Clear,Earthy,Hepatitis A
"dark urine, joint pain",Brown,Foul,Hepatitis A
"abdominal pain, joint pain, nausea",Clear,None,Hepatitis A
"fever, yellow skin or eyes",Yellowish,None,Hepatitis A
"abdominal pain, joint pain, vomiting",Clear,Earthy,Hepatitis A
"jaundice, joint pain, nausea",Clear,Earthy,Hepatitis A
"vomiting, jaundice, fever",Clear,None,Hepatitis A
"vomiting, abdominal pain",Clear,Foul,Hepatitis A
"joint pain, nausea, fever, yellow skin or eyes",Clear,Foul,Hepatitis A
"nausea, yellow skin or eyes, joint pain, light-colored stool",Yellowish,Earthy,Hepatitis A
"light-colored stool, joint pain, jaundice, fever",Yellowish,Earthy,Hepatitis A
"jaundice, light-colored stool, joint pain, abdominal pain",Yellowish,Earthy,Hepatitis A
"abdominal pain, yellow skin or eyes, vomiting",Yellowish,None,Hepatitis A
"yellow skin or eyes, vomiting",Clear,Foul,Hepatitis A
"jaundice, vomiting, joint pain, yellow skin or eyes",Brown,Earthy,Hepatitis A
"joint pain, light-colored stool, dark urine, abdominal pain",Clear,Foul,Hepatitis A
"light-colored stool, abdominal pain, jaundice",Brown,Foul,Hepatitis A
"vomiting, jaundice, nausea",Yellowish,Earthy,Hepatitis A
"joint pain, jaundice, dark urine, fever",Brown,None,Hepatitis A
"dark urine, fever, light-colored stool",Yellowish,Foul,Hepatitis A
"dark urine, light-colored stool",Yellowish,None,Hepatitis A
"dark urine, light-colored stool",Clear,Earthy,Hepatitis A
"dark urine, light-colored stool, yellow skin or eyes",Brown,Foul,Hepatitis A
"joint pain, jaundice, yellow skin or eyes, vomiting",Brown,Foul,Hepatitis A
"fever, dark urine",Brown,Foul,Hepatitis A
"joint pain, nausea, light-colored stool",Yellowish,None,Hepatitis A
"light-colored stool, fever",Brown,Earthy,Hepatitis A
"jaundice, abdominal pain, dark urine, joint pain",Brown,Earthy,Hepatitis A
"fever, joint pain, yellow skin or eyes, abdominal pain",Brown,None,Hepatitis A
"yellow skin or eyes, abdominal pain, nausea",Brown,Foul,Hepatitis A
"yellow skin or eyes, abdominal pain",Brown,None,Hepatitis A
"vomiting, dark urine, fever, joint pain",Yellowish,None,Hepatitis A
"vomiting, fever",Brown,Foul,Hepatitis A
"dark urine, nausea, yellow skin or eyes",Yellowish,None,Hepatitis A
"dark urine, yellow skin or eyes, light-colored stool",Clear,Foul,Hepatitis A
"abdominal pain, joint pain",Yellowish,Foul,Hepatitis A
"fever, yellow skin or eyes, joint pain, jaundice",Yellowish,Earthy,Hepatitis A
"abdominal pain, yellow skin or eyes, fever, nausea",Clear,None,Hepatitis A
"abdominal pain, joint pain, vomiting, nausea",Yellowish,None,Hepatitis A
"nausea, joint pain, vomiting, dark urine",Yellowish,Foul,Hepatitis A
"yellow skin or eyes, joint pain, light-colored stool",Yellowish,Earthy,Hepatitis A
"fever, light-colored stool, vomiting",Brown,Foul,Hepatitis A
"vomiting, fever",Yellowish,Foul,Hepatitis A
"light-colored stool, nausea",Brown,Earthy,Hepatitis A
"jaundice, abdominal pain, fever, joint pain",Brown,Foul,Hepatitis A
"jaundice, abdominal pain",Brown,None,Hepatitis A
"joint pain, yellow skin or eyes, abdominal pain, jaundice",Yellowish,None,Hepatitis A
"joint pain, vomiting, light-colored stool",Clear,None,Hepatitis A
"jaundice, fever, vomiting",Yellowish,Foul,Hepatitis A
"abdominal pain, fever, light-colored stool",Yellowish,Earthy,Hepatitis A
"dark urine, light-colored stool, yellow skin or eyes, jaundice",Clear,Earthy,Hepatitis A
"light-colored stool, vomiting, nausea, fever",Brown,Foul,Hepatitis A
"jaundice, vomiting, joint pain, abdominal pain",Clear,Earthy,Hepatitis A
"light-colored stool, fever, nausea",Yellowish,None,Hepatitis A
"vomiting, yellow skin or eyes",Brown,Earthy,Hepatitis A
"joint pain, light-colored stool",Brown,Earthy,Hepatitis A
"light-colored stool, jaundice",Yellowish,Earthy,Hepatitis A
"light-colored stool, vomiting, joint pain",Brown,Foul,Hepatitis A
"jaundice, joint pain, vomiting, nausea",Clear,Foul,Hepatitis A
"joint pain, abdominal pain",Brown,None,Hepatitis A
"vomiting, abdominal pain, light-colored stool, nausea",Clear,Earthy,Hepatitis A
"joint pain, jaundice",Yellowish,Earthy,Hepatitis A
"jaundice, fever",Yellowish,None,Hepatitis A
"yellow skin or eyes, dark urine, joint pain",Brown,None,Hepatitis A
"yellow skin or eyes, nausea, dark urine, vomiting",Clear,Foul,Hepatitis A
"nausea, yellow skin or eyes",Yellowish,Earthy,Hepatitis A
"joint pain, nausea, light-colored stool, jaundice",Brown,None,Hepatitis A
"yellow skin or eyes, dark urine",Yellowish,Foul,Hepatitis A
"light-colored stool, nausea, vomiting",Clear,Foul,Hepatitis A
"abdominal pain, dark urine, yellow skin or eyes, fever",Yellowish,Foul,Hepatitis A
"joint pain, light-colored stool, yellow skin or eyes, dark urine",Brown,Earthy,Hepatitis A
"nausea, yellow skin or eyes",Yellowish,Earthy,Hepatitis A
"vomiting, light-colored stool, abdominal pain, joint pain",Clear,None,Hepatitis A
"light-colored stool, abdominal pain",Yellowish,None,Hepatitis A
"abdominal pain, joint pain, light-colored stool",Clear,None,Hepatitis A
"yellow skin or eyes, abdominal pain",Clear,Foul,Hepatitis A
"joint pain, dark urine",Clear,Earthy,Hepatitis A
"dark urine, joint pain",Clear,Foul,Hepatitis A
"jaundice, joint pain",Clear,Earthy,Hepatitis A
"vomiting, light-colored stool, fever",Yellowish,Earthy,Hepatitis A
"abdominal pain, light-colored stool, joint pain",Yellowish,Foul,Hepatitis A
"yellow skin or eyes, light-colored stool, joint pain",Yellowish,Earthy,Hepatitis A
"vomiting, fever, jaundice, abdominal pain",Brown,None,Hepatitis A
"vomiting, yellow skin or eyes",Clear,Earthy,Hepatitis A
"dark urine, abdominal pain, yellow skin or eyes, jaundice",Yellowish,None,Hepatitis A
"nausea, abdominal pain, vomiting",Yellowish,Foul,Hepatitis A
"dark urine, light-colored stool, abdominal pain",Brown,None,Hepatitis A
"yellow skin or eyes, jaundice",Brown,None,Hepatitis A
"light-colored stool, joint pain",Clear,None,Hepatitis A
"jaundice, dark urine, light-colored stool, joint pain",Brown,Foul,Hepatitis A
"light-colored stool, abdominal pain",Yellowish,Foul,Hepatitis A
"yellow skin or eyes, light-colored stool, abdominal pain, jaundice",Brown,None,Hepatitis A
"dark urine, nausea, abdominal pain, yellow skin or eyes",Yellowish,None,Hepatitis A
"vomiting, abdominal pain, fever",Clear,Earthy,Hepatitis A
"fever, nausea",Yellowish,Earthy,Hepatitis A
"nausea, joint pain, vomiting, yellow skin or eyes",Yellowish,None,Hepatitis A
"vomiting, fever, nausea",Brown,None,Hepatitis A
"yellow skin or eyes, dark urine",Brown,Earthy,Hepatitis A
"jaundice, vomiting, yellow skin or eyes",Clear,Foul,Hepatitis A
"abdominal pain, jaundice",Yellowish,None,Hepatitis A
"vomiting, jaundice, fever, abdominal pain",Yellowish,None,Hepatitis A
"jaundice, abdominal pain, fever",Brown,Earthy,Hepatitis A
"vomiting, joint pain, dark urine, abdominal pain",Brown,Earthy,Hepatitis A
"nausea, abdominal pain, jaundice, yellow skin or eyes",Brown,None,Hepatitis A
"joint pain, dark urine",Yellowish,None,Hepatitis A
"joint pain, nausea",Clear,Earthy,Hepatitis A
"fever, vomiting, jaundice, joint pain",Yellowish,Earthy,Hepatitis A
"fever, light-colored stool, yellow skin or eyes, vomiting",Clear,Earthy,Hepatitis A
"yellow skin or eyes, dark urine, light-colored stool, jaundice",Brown,None,Hepatitis A
"abdominal pain, yellow skin or eyes",Brown,Earthy,Hepatitis A
"abdominal pain, dark urine",Yellowish,None,Hepatitis A
"fever, abdominal pain, jaundice",Clear,None,Hepatitis A
"light-colored stool, jaundice, vomiting, dark urine",Brown,None,Hepatitis A
"dark urine, light-colored stool, nausea, abdominal pain",Yellowish,Foul,Hepatitis A
"light-colored stool, jaundice, abdominal pain",Brown,None,Hepatitis A
"joint pain, yellow skin or eyes",Yellowish,Foul,Hepatitis A
"light-colored stool, abdominal pain",Brown,Earthy,Hepatitis A
"vomiting, yellow skin or eyes, light-colored stool",Yellowish,None,Hepatitis A
"dark urine, nausea",Yellowish,Earthy,Hepatitis A
"nausea, jaundice, vomiting, abdominal pain",Yellowish,Foul,Hepatitis A
"jaundice, nausea, yellow skin or eyes",Brown,None,Hepatitis A
"abdominal pain, light-colored stool, nausea, vomiting",Clear,None,Hepatitis A
"light-colored stool, jaundice, joint pain",Clear,Earthy,Hepatitis A
"jaundice, abdominal pain, light-colored stool",Clear,None,Hepatitis A
"joint pain, abdominal pain, nausea, dark urine",Brown,None,Hepatitis A
"jaundice, light-colored stool, fever, nausea",Clear,None,Hepatitis A
"dark urine, light-colored stool, abdominal pain, fever",Clear,None,Hepatitis A
"yellow skin or eyes, jaundice, nausea, vomiting",Clear,None,Hepatitis A
"light-colored stool, fever, vomiting",Yellowish,None,Hepatitis A
"joint pain, fever, light-colored stool",Brown,None,Hepatitis A
"abdominal pain, fever",Yellowish,Foul,Hepatitis A
"dark urine, light-colored stool, yellow skin or eyes",Yellowish,Foul,Hepatitis A
"light-colored stool, vomiting, yellow skin or eyes, abdominal pain",Brown,Earthy,Hepatitis A
"abdominal pain, yellow skin or eyes",Yellowish,Earthy,Hepatitis A
"joint pain, yellow skin or eyes",Clear,Earthy,Hepatitis A
"joint pain, abdominal pain, vomiting",Brown,None,Hepatitis A
"abdominal pain, vomiting",Yellowish,Earthy,Hepatitis A
"fever, abdominal pain, joint pain, yellow skin or eyes",Brown,None,Hepatitis A
"nausea, dark urine",Brown,None,Hepatitis A
"jaundice, nausea",Clear,Foul,Hepatitis A
"joint pain, abdominal pain, jaundice",Brown,Earthy,Hepatitis A
"joint pain, dark urine",Clear,None,Hepatitis A
"fever, yellow skin or eyes, abdominal pain, jaundice",Clear,Earthy,Hepatitis A
"joint pain, yellow skin or eyes, light-colored stool, nausea",Yellowish,Foul,Hepatitis A
"fever, light-colored stool",Yellowish,Foul,Hepatitis A
"abdominal pain, light-colored stool, joint pain, jaundice",Brown,None,Hepatitis A
"yellow skin or eyes, vomiting, joint pain",Yellowish,Foul,Hepatitis A
"abdominal pain, jaundice, joint pain, yellow skin or eyes",Brown,Foul,Hepatitis A
"dark urine, jaundice, nausea",Clear,Earthy,Hepatitis A
"jaundice, abdominal pain, vomiting",Clear,None,Hepatitis A
"jaundice, fever, joint pain",Brown,Foul,Hepatitis A
"yellow skin or eyes, jaundice",Brown,Foul,Hepatitis A
"joint pain, fever, nausea",Clear,Foul,Hepatitis A
"dark urine, abdominal pain",Brown,Earthy,Hepatitis A
"nausea, dark urine, yellow skin or eyes",Brown,None,Hepatitis A
"light-colored stool, nausea",Yellowish,None,Hepatitis A
"vomiting, dark urine, light-colored stool",Yellowish,Earthy,Hepatitis A
"fever, yellow skin or eyes",Yellowish,Earthy,Hepatitis A
"light-colored stool, abdominal pain, nausea",Brown,None,Hepatitis A
"jaundice, dark urine",Clear,None,Hepatitis A
"nausea, dark urine",Clear,None,Hepatitis A
"vomiting, yellow skin or eyes",Yellowish,None,Hepatitis A
"nausea, vomiting, fever",Yellowish,Earthy,Hepatitis A
"vomiting, light-colored stool, yellow skin or eyes",Clear,Earthy,Hepatitis A
"light-colored stool, fever, nausea, dark urine",Yellowish,Earthy,Hepatitis A
"abdominal pain, yellow skin or eyes, light-colored stool, nausea",Clear,Earthy,Hepatitis A
"nausea, yellow skin or eyes, joint pain",Yellowish,Foul,Hepatitis A
"vomiting, light-colored stool, fever, joint pain",Clear,Foul,Hepatitis A
"joint pain, yellow skin or eyes, light-colored stool, dark urine",Yellowish,Foul,Hepatitis A
"joint pain, dark urine",Yellowish,None,Hepatitis A
"abdominal pain, dark urine, fever",Brown,Earthy,Hepatitis A
"jaundice, nausea",Clear,Foul,Hepatitis A
"nausea, light-colored stool",Brown,Foul,Hepatitis A
"abdominal pain, joint pain, light-colored stool, dark urine",Yellowish,Earthy,Hepatitis A
"dark urine, fever, yellow skin or eyes",Yellowish,Foul,Hepatitis A
"yellow skin or eyes, jaundice, nausea, vomiting",Yellowish,None,Hepatitis A
"nausea, vomiting, fever",Brown,Foul,Hepatitis A
"jaundice, yellow skin or eyes, abdominal pain",Brown,Earthy,Hepatitis A
"stomach cramps, fever",Brown,Rotten,Dysentery
"fever, bloody diarrhea, vomiting, painful passing of stool",Brown,Rotten,Dysentery
"vomiting, painful passing of stool, mucus in stool, stomach cramps",Brown,Rotten,Dysentery
"nausea, mucus in stool, fever, bloody diarrhea",Brown,Foul,Dysentery
"fever, bloody diarrhea, vomiting",Turbid,Rotten,Dysentery
"painful passing of stool, bloody diarrhea",Brown,Fecal,Dysentery
"fever, stomach cramps, mucus in stool",Brown,Foul,Dysentery
"painful passing of stool, vomiting",Brown,Fecal,Dysentery
"nausea, vomiting",Cloudy,Fecal,Dysentery
"bloody diarrhea, stomach cramps, nausea",Brown,Foul,Dysentery
"painful passing of stool, mucus in stool",Cloudy,Rotten,Dysentery
"mucus in stool, stomach cramps, fever",Cloudy,Fecal,Dysentery
"bloody diarrhea, painful passing of stool, fever",Brown,Foul,Dysentery
"bloody diarrhea, vomiting, fever, stomach cramps",Turbid,Foul,Dysentery
"vomiting, nausea, painful passing of stool, bloody diarrhea",Turbid,Rotten,Dysentery
"mucus in stool, bloody diarrhea, nausea",Brown,Rotten,Dysentery
"fever, vomiting",Cloudy,Rotten,Dysentery
"nausea, mucus in stool",Cloudy,Foul,Dysentery
